FFB6 ROM_VECTAB
FFB9 ROM_OSRDSC
FFBC ROM_OSVDU
FFBF ROM_OSEVEN
FFC2 ROM_GSINIT
FFC5 ROM_GSREAD
FFC8 ROM_NVRDCH
FFCB ROM_NVWRCH
FFCE ROM_OSFIND
FFD1 ROM_OSGBPB
FFD4 ROM_OSBPUT
FFD7 ROM_OSBGET
FFDA ROM_OSARGS
FFDD ROM_OSFILE
FFE0 ROM_OSRDCH
FFE3 ROM_OSASCI
FFE7 ROM_OSNEWL
FFEC ROM_OSWRCR
FFEE ROM_OSWRCH
FFF1 ROM_OSWORD
FFF4 ROM_OSBYTE
FFF7 ROM_OSCLI
FFFA RAM_NMIV
FFFC RAM_RESETV
FFFE RAM_IRQV
0200 RAM_USERV
0202 RAM_BRKV
0204 RAM_IRQ1V
0206 RAM_IRQ2V
0208 RAM_CLIV
020A RAM_BYTEV
020C RAM_WORDV
020E RAM_WRCHV
0210 RAM_RDCHV
0212 RAM_FILEV
0214 RAM_ARGSV
0216 RAM_BGETV
0218 RAM_BPUTV
021A RAM_GBPBV
021C RAM_FINDV
021E RAM_FSCV
0220 RAM_EVNTV
0222 RAM_UPTV
0224 RAM_NETV
0226 RAM_VDUV
0228 RAM_KEYV
022A RAM_INSV
022C RAM_REMV
022E RAM_CNPV
0230 RAM_IND1V
0232 RAM_IND2V
0234 RAM_IND3V
0D9F RAM_XUSERV
0DA2 RAM_XBRKV
0DA5 RAM_XIRQ1V
0DA8 RAM_XIRQ2V
0DAB RAM_XCLIV
0DAE RAM_XBYTEV
0DB1 RAM_XWORDV
0DB4 RAM_XWRCHV
0DB7 RAM_XRDCHV
0DBA RAM_XFILEV
0DBD RAM_XARGSV
0DC0 RAM_XBGETV
0DC3 RAM_XBPUTV
0DC6 RAM_XGBPBV
0DC9 RAM_XFINDV
0DCC RAM_XFSCV
0DCF RAM_XEVNTV
0DD2 RAM_XUPTV
0DD5 RAM_XNETV
0DD8 RAM_XVDUV
0DDB RAM_XKEYV
0DDE RAM_XINSV
0DE1 RAM_XREMV
0DE4 RAM_XCNPV
0DE7 RAM_XIND1V
0DEA RAM_XIND2V
0DED RAM_XIND3V
