FF47 ROM_SPINSPOUT
FF4A ROM_CLOSEALL
FF4D ROM_64MODE
FF50 ROM_DMACALL
FF53 ROM_BOOTCALL
FF56 ROM_FOENIX
FF59 ROM_LKUPLA
FF5C ROM_LKUPSA
FF5F ROM_SWAPPER
FF62 ROM_DLCHR
FF65 ROM_PFKEY
FF68 ROM_SETBNK
FF6B ROM_SETCFG
FF6E ROM_JSRFAR
FF71 ROM_JMPFAR
FF74 ROM_INDFET
FF77 ROM_INDSTA
FF7A ROM_INDCMP
FF7D ROM_PRIMM
FF81 ROM_CINT
FF84 ROM_IOINIT
FF87 ROM_RAMTAS
FF8A ROM_RESTOR
FF8D ROM_VECTOR
FF90 ROM_SETMSG
FF93 ROM_SECND
FF96 ROM_TKSA
FF99 ROM_MEMTOP
FF9C ROM_MEMBOT
FF9F ROM_KEY
FFA2 ROM_SETTMO
FFA5 ROM_ACPTR
FFA8 ROM_CIOUT
FFAB ROM_UNTLK
FFAE ROM_UNLSN
FFB1 ROM_LISTN
FFB4 ROM_TALK
FFB7 ROM_READSS
FFBA ROM_SETLFS
FFBD ROM_SETNAM
FFC0 ROM_OPENi
FFC3 ROM_CLOSEi
FFC6 ROM_CHKINi
FFC9 ROM_CHKOUTi
FFCC ROM_CLRCHi
FFCF ROM_BASINi
FFD2 ROM_BSOUTi
FFD5 ROM_LOADSP
FFD8 ROM_SAVESP
FFDB ROM_SETTIM
FFDE ROM_RDTIM
FFE1 ROM_STOPi
FFE4 ROM_GETINi
FFE7 ROM_CLALLi
FFEA ROM_UDTIM
FFED ROM_SCRORG
FFF0 ROM_PLOT
FFF3 ROM_IOBASE
