FF81 ROM_CINT
FF84 ROM_IOINIT
FF87 ROM_RAMTAS
FF8A ROM_RESTOR
FF8D ROM_VECTOR
FF90 ROM_SETMSG
FF93 ROM_SECOND
FF96 ROM_TKSA
FF99 ROM_MEMTOP
FF9C ROM_MEMBOT
FF9F ROM_SCNKEY
FFA2 ROM_SETTMO
FFA5 ROM_ACPTR
FFA8 ROM_CIOUT
FFAB ROM_UNTLK
FFAE ROM_UNLSN
FFB1 ROM_LISTEN
FFB4 ROM_TALK
FFB7 ROM_READST
FFBA ROM_SETLFS
FFBD ROM_SETNAM
FFC0 ROM_OPEN
FFC3 ROM_CLOSE
FFC6 ROM_CHKIN
FFC9 ROM_CHKOUT
FFCC ROM_CLRCHN
FFCF ROM_CHRIN
FFD2 ROM_CHROUT
FFD5 ROM_LOAD
FFD8 ROM_SAVE
FFDB ROM_SETTIM
FFDE ROM_RDTIM
FFE1 ROM_STOP
FFE4 ROM_GETIN
FFE7 ROM_CLALL
FFEA ROM_UDTIM
FFED ROM_SCREEN
FFF0 ROM_PLOT
FFF3 ROM_IOBASE
031A ROM_OPENi
031C ROM_CLOSEi
031E ROM_CHKINi
0320 ROM_CHKOUTi
0322 ROM_CLRCHNi
0324 ROM_CHRINi
0326 ROM_CHROUTi
0330 ROM_LOADi
0332 ROM_SAVEi
0328 ROM_STOPi
032A ROM_GETINi
032C ROM_CLALLi
FF5B ROM_CINTj
FDA3 ROM_IOINITj
FD50 ROM_RAMTASj
FD15 ROM_RESTORj
FD1A ROM_VECTORj
FE18 ROM_SETMSGj
EDB9 ROM_SECONDj
EDC7 ROM_TKSAj
FE25 ROM_MEMTOPj
FE34 ROM_MEMBOTj
EA87 ROM_SCNKEYj
FE21 ROM_SETTMOj
EE13 ROM_ACPTRj
EDDD ROM_CIOUTj
EDEF ROM_UNTLKj
EDFE ROM_UNLSNj
ED0C ROM_LISTENj
ED09 ROM_TALKj
FE07 ROM_READSTj
FE00 ROM_SETLFSj
FDF9 ROM_SETNAMj
F34A ROM_OPENj
F291 ROM_CLOSEj
F20E ROM_CHKINj
F250 ROM_CHKOUTj
F333 ROM_CLRCHNj
F157 ROM_CHRINj
F1CA ROM_CHROUTj
F49E ROM_LOADj
F5DD ROM_SAVEj
F6E4 ROM_SETTIMj
F6DD ROM_RDTIMj
F6ED ROM_STOPj
F13E ROM_GETINj
F32F ROM_CLALLj
F69B ROM_UDTIMj
E505 ROM_SCREENj
E50A ROM_PLOTj
E500 ROM_IOBASEj
FE43 NMI_VECTOR
FCE2 RESET_VECTOR
FF48 IRQ_BRK_VECTOR
