:JMP/JSR only

:ALL
2000 PPUCTRL     PPU Control Register 1:
2001 PPUMASK     PPU Control Register 2:
2002 PPUSTATUS   PPU Status Register
2003 OAMADDR     SPR-RAM Address Register
2004 OAMDATA     SPR-RAM I/O Register
2005 PPUSCROLL   VRAM Address Register 1.
2006 PPUADDR     VRAM Address Register 2.
2007 PPUDATA     VRAM I/O Register
4000 SQ1_VOL     pAPU Pulse 1 Control Register.
4001 SQ1_SWEEP   pAPU Pulse 1 Ramp Control Register.
4002 SQ1_LO      pAPU Pulse 1 Fine Tune (FT) Register.
4003 SQ1_HI      pAPU Pulse 1 Coarse Tune (CT) Register.
4004 SQ2_VOL     pAPU Pulse 2 Control Register.
4005 SQ2_SWEEP   pAPU Pulse 2 Ramp Control Register.
4006 SQ2_LO      pAPU Pulse 2 Fine Tune Register.
4007 SQ2_HI      pAPU Pulse 2 Coarse Tune Register.
4008 TRI_LINEAR1 pAPU Triangle Control Register 1.
4009 TRI_LINEAR2 pAPU Triangle Control Register 2.
400A TRI_LO      pAPU Triangle Frequency Register 1.
400B TRI_HI      pAPU Triangle Frequency Register 2.
400C NOISE_VOL   pAPU Noise Control Register 1.
400E NOISE_LO    pAPU Noise Frequency Register 1.
400F NOISE_HI    pAPU Noise Frequency Register 2.
4010 DMC_FREQ    pAPU Delta Modulation Control Register.
4011 DMC_RAW     pAPU Delta Modulation D/A Register.
4012 DMC_START   pAPU Delta Modulation Address Register.
4013 DMC_LEN     pAPU Delta Modulation Data Length Register.
4014 OAM_DMA     Sprite DMA Register
4015 SND_CHN     pAPU Sound / Vertical Clock Signal Register.
4016 JOY1        Joypad 1
4017 JOY2        Joypad 2
