C006 ROM_JUMPTAB
C0EA ROM_KEYWORDS
C2A8 ROM_ERRORMSGS
C3C6 ROM_FINDFORVAR
C3F4 ROM_VARALLOC
C444 ROM_FREEMEMCHECK
C47C ROM_PRINTERROR
C4A8 ROM_BACKTOBASIC
C4D3 ROM_INSDELLINE
C4E0 ROM_DELETELINE
C524 ROM_INSERTLINE
C55F ROM_SETLINELINKPTRS
C444 ROM_FREEMEMCHECK
C592 ROM_GETLINE
C5E8 ROM_READKEY
C5FA ROM_TOKENISELINE
C692 ROM_EDIT
C6B3 ROM_FINDLINE
C6EE ROM_NEW
C70D ROM_CLEAR
C748 ROM_LIST
C7FD ROM_LLIST
C809 ROM_LPRINT
C816 ROM_SETPRINTER
C82F ROM_SETSCREEN
C855 ROM_FOR
C8C1 ROM_DONEXTLINE
C915 ROM_DOSTATEMENT
C952 ROM_RESTORE
C9A0 ROM_CONT
C9BD ROM_RUN
C9C8 ROM_GOSUB
C9E5 ROM_GOTO
CA12 ROM_RETURN
CA4E ROM_FINDENDOFSTATEMENT
CA51 ROM_FINDEOL
CA70 ROM_IF
CA99 ROM_REM
CAC2 ROM_ON
CAE2 ROM_TXT2INT
CB1C ROM_LET
CBAB ROM_PRINT
CBF0 ROM_NEWLINE
CC59 ROM_SETCURSOR
CCB0 ROM_PRINTSTRING
CCCE ROM_CLRSCR
CD16 ROM_TRON
CD46 ROM_GET
CD55 ROM_INPUT
CD89 ROM_READ
CE98 ROM_NEXT
CF03 ROM_GETEXPR
CF17 ROM_EVALEXPR
CFAC ROM_DOOPER
D000 ROM_GETITEM
D03C ROM_NOT
D059 ROM_EVALBRACKET
D07C ROM_GETVARVAL
D113 ROM_COMPARE
D17E ROM_DIM
D188 ROM_GETVARFROMTEXT
D361 ROM_DIMARRAY
D3EB ROM_GETARRAYELEMENT
D47E ROM_FRE
D4A6 ROM_POS
D4BA ROM_DEF
D593 ROM_STR
D5A3 ROM_SETUPSTRING
D5B5 ROM_GETSTRING
D650 ROM_GARBAGECOLLECT
D730 ROM_COPYSTRING
D767 ROM_STRCAT
D816 ROM_CHR
D82A ROM_LEFT
D856 ROM_RIGHT
D861 ROM_MID
D8A6 ROM_LEN
D8B5 ROM_ASC
D8C5 ROM_GETBYTEEXPR
D922 ROM_FP2INT
D938 ROM_PEEK
D94F ROM_POKE
D958 ROM_WAIT
D967 ROM_DOKE
D983 ROM_DEEK
D993 ROM_BYTE2HEX
D9B5 ROM_HEX
D9DE ROM_LORES
DA0C ROM_ROWCALC
DA3F ROM_SCRN
DA51 ROM_PLOT
DAA1 ROM_UNTIL
DAAB ROM_REPEAT
DADA ROM_KEY
DAF6 ROM_TXTTEST
DB92 ROM_NORMALISE
DBB9 ROM_ADDMANTISSAS
DCAF ROM_LN
DD51 ROM_UNPACKFPA
DDA7 ROM_FPAMULT10
DDC3 ROM_FPADIV10
DDD4 ROM_LOG
DE77 ROM_PI
DEF4 ROM_ROUNDFPA
DF0B ROM_FALSE
DF0F ROM_TRUE
DF13 ROM_GETSIGN
DF21 ROM_SGN
DF4C ROM_COMPAREFPA
DF8C ROM_FPA2INT
DFBD ROM_INT
DFE7 ROM_GETNUMBER
E076 ROM_ADDTOFPA
E0C5 ROM_PRINTINT
E22E ROM_SQR
E27C ROM_EXPDATA
E22A ROM_EXP
E313 ROM_SERIESEVAL
E34F ROM_RND
